BL	57	08/08/1998	28.90	108.7560	155.8068
BL	59	21/07/1994	25.90	97.3576	158.9734
BL	59	04/09/1997	29.70	97.3576	158.9734
BL	59	08/08/1998	27.50	97.3576	158.9734
BL	62	21/07/1994	34.50	77.4975	155.7068
BL	62	04/09/1997	35.90	77.4975	155.7068
BL	62	09/08/1998	35.50	77.4975	155.7068
BL	63	21/07/1994	39.50	67.9444	155.5455
BL	63	09/08/1998	40.10	67.9444	155.5455
BL	65	21/07/1994	42.50	57.0545	151.1435
BL	65	09/08/1998	43.40	57.0545	151.1435
BL	79	22/07/1994	71.00	2.6488	76.6595
BL	79	22/07/1994	71.10	2.6488	76.6595
BL	80	22/07/1994	56.30	15.7125	355.0660
BL	80	24/07/1997	56.30	15.7125	355.0660
BL	81	22/07/1994	52.80	26.2765	354.6750
BL	81	30/09/1997	49.70	26.2765	354.6750
BL	83	22/07/1994	46.90	41.3617	353.4350
BL	83	30/09/1997	47.40	41.3617	353.4350
BL	84	22/07/1994	41.50	48.0492	6.2581
BL	84	30/09/1997	41.00	48.0485	6.2583
BL	87	22/07/1994	40.50	46.0106	11.5388
BL	87	30/09/1997	40.70	46.0111	11.5388
BL	88	22/07/1994	41.50	40.4133	18.3661
BL	88	30/09/1997	44.70	40.4131	18.3659
BL	89	22/07/1994	44.70	34.7636	27.5925
BL	89	30/09/1997	44.20	34.7639	27.5920
BL	90	22/07/1994	47.30	24.6669	54.0105
BL	90	30/09/1997	48.00	24.6670	54.0113
BL	92	22/07/1994	45.20	30.2429	76.6520
BL	92	24/07/1997	42.50	30.2473	76.6069
BL	92	30/09/1997	42.00	30.2473	76.6069
BL	99	23/07/1994	39.40	33.0511	95.6736
BL	99	24/09/1998	42.10	33.0512	95.6747
BL	104	23/07/1994	39.60	42.1793	111.1966
BL	104	24/07/1997	39.50	42.1797	111.1976
BL	106	23/07/1994	43.40	33.3781	125.5679
BL	106	24/09/1998	44.70	33.3781	125.5684
BL	107	23/07/1994	59.50	11.3915	186.4342
BL	107	30/09/1997	56.70	11.3926	186.4331
BL	107	09/08/1998	59.50	11.3926	186.4332
