id,Staðarlýsing,Breidd,Lengd
272,165gr 3.43km frá RL,65.6545,-16.9390
273,150gr 4.40km frá RL,65.6590,-16.9675
274,135gr 4.51km frá RL,65.6532,-16.9899
275,120gr 4.25km frá RL,65.6438,-17.0003
276,105gr 4.17km frá RL,65.6344,-17.0077
277,090gr 4.86km frá RL,65.6248,-17.0259
278,075gr 8.29km frá RL,65.6053,-17.0942
279,060gr 9.73km frá RL,65.5808,-17.1031
280,Vestan Skútustaða,65.5726,-17.0850
281,045gr 8.58km frá RL,65.5705,-17.0528
282,030gr 7.98km frá RL,65.5628,-17.0078
283,015gr 8.19km frá RL,65.5537,-16.9666
284,356gr 3.64km frá RL,65.5920,-16.9131
285,000gr 1.87km frá RL,65.6079,-16.9201
286,345gr 1.77km frá RL,65.6094,-16.9101
287,315gr 2.33km frá RL,65.6098,-16.8843
288,302gr 2.44km frá RL,65.6131,-16.8748
289,330gr 2.27km frá RL,65.6070,-16.8956
290,Dældarás,65.6964,-16.2839
291,,65.7834,-16.3510
292,Brattifjallgarður,65.3203,-15.6640
293,Grjótgarðsháls,65.2918,-15.4578
294,Arnórsstaðamúli,65.2938,-15.2211
295,Teigur í Jökuldal,65.3570,-14.9084
296,Hauksstaðir,65.3843,-14.7041
297,Brúarás,65.4385,-14.6071
298,Kirkjubær,65.5107,-14.4122
299,Tjarnarland,65.5644,-14.2969
300,Ártún,65.4708,-14.3069
301,2km frá EDR (möstrin sjást),65.3554,-14.3498
302,3km frá EDR (möstrin sjást),65.3464,-14.3530
303,4km frá EDR (möstrin sjást),65.3377,-14.3572
304,5km frá EDR (möstrin sjást),65.3286,-14.3580
305,0.63km frá BR,65.3314,-14.3594
306,1.00km frá BR ,65.3385,-14.3561
307,2.00km frá BR,65.3487,-14.3525
308,1.00km frá BR,65.3260,-14.3583
309,6km frá EDR (möstrin sjást),65.3196,-14.3598
310,8km frá EDR,65.3016,-14.3611
311,10km frá EDR,65.2838,-14.3680
312,018gr 0.50km frá ES,65.2342,-14.4556
313,023gr 1.00km frá ES,65.2302,-14.4606
314,024gr 2.00km frá ES,65.2221,-14.4697
315,Fjarðarheiði (nálægt skíðabrekku),65.2691,-14.4659
316,Eyjólfsstaðir,65.2758,-14.3055
317,Eyjólfsstaðir,65.1920,-14.4972
318,,65.1262,-14.5433
319,Sandfellshöfðar,65.1195,-14.5568
320,Arnhólsstaðir,65.0421,-14.5851
321,,64.9253,-14.6453
322,Breiðdalsheiði,64.9072,-14.6035
323,Vegamót 1/964,64.8023,-14.1366
324,Streitishvarf,64.7330,-13.9882
325,Berunes,64.6946,-14.2038
326,,64.7704,-14.4655
327,,64.6481,-14.2788
328,,64.6459,-14.2810
329,Krossanes,64.6191,-14.4105
330,Leiruvogur,64.5451,-14.5935
331,Þvottá,64.5011,-14.4812
332,Stigafjöll,64.4460,-14.9450
333,Volasel,64.3722,-14.9235
334,Efrifjörður,64.3094,-14.9859
335,Almannaskarð,64.2848,-15.0377
336,Austan Skarðsfjarðar,64.2690,-15.0278
337,,64.2696,-15.2032
338,,64.2761,-15.2003
339,Hólar,64.2938,-15.1884
340,,64.3545,-15.2556
341,Hoffellsjökull,64.4182,-15.3985
342,Bollastaðir,63.9435,-20.8598
343,Helluflugvöllur,63.8338,-20.3801
344,Hvolsvöllur,63.7439,-20.2332
345,Affallsflugvöllur,63.6788,-20.1581
346,Markarfljótsbrú,63.6172,-20.0173
347,Írá,63.5645,-19.8416
348,Austan Holtsóss,63.5192,-19.6915
349,Skógar,63.5202,-19.5223
350,Skógafjara,63.4929,-19.5586
351,Sólheimahjálega,63.4846,-19.3356
352,Dyrhólaey 115m,63.4038,-19.1295
353,Dyrhólaey  34m,63.4115,-19.1300
354,Hvammból,63.4327,-19.1715
355,Vík,63.4147,-19.0029
356,Hjörleifshöfði,63.4393,-18.7706
357,Mýrdalssandur,63.4730,-18.5796
358,Skálm,63.5449,-18.4519
359,Kúðafljót,63.6210,-18.4478
360,Melhóll,63.5784,-18.2673
361,101gr 0.50km frá SR,63.5188,-17.9889
362,106gr 1.00km frá SR,63.5205,-17.9983
363,106gr 2.00km frá SR,63.5230,-18.0177
364,107gr 4.00km frá SR,63.5285,-18.0559
365,113gr 8.00km frá SR,63.5462,-18.1273
366,Sunnan Bakkakots,63.5478,-18.1586
367,Syðri Fljótar,63.6161,-18.0268
368,174gr 16.0km frá SR,63.6605,-18.0143
369,Ytra Hraun,63.7141,-17.9968
370,Sunnan Kirkjubæjarklausturs,63.7903,-18.0311
371,Dverghamrar,63.8501,-17.8603
372,Teygingarlækur,63.8804,-17.7603
373,Djúpá,63.9471,-17.6401
374,Núpsvötn,63.9561,-17.4714
375,Skeiðarársandur,63.9386,-17.2697
376,Skeiðará,63.9751,-17.0163
377,Skaftafellsjökull,64.0068,-16.9388
378,Sandfell,63.9273,-16.7899
379,Hofsnes,63.8789,-16.6645
380,Kvíá,63.9378,-16.4338
381,Fjallsá,64.0146,-16.3705
382,Jökulsá (30m frá sjó),64.0477,-16.1640
383,Hvalsnes,64.4036,-14.5418
384,Reyðará,64.4178,-14.7522
385,Innan við Stafafell,64.4346,-14.9013
386,Þveit,64.3393,-15.2459
387,Viðborðsfjall,64.3438,-15.5071
388,Skálafellsjökull,64.2755,-15.6427
389,Smyrlabjörg,64.2241,-15.6927
390,Leiti,64.1775,-15.8754
391,Fellsárbrú,64.1177,-16.0811
392,Sunnan Lómagnúps,63.9568,-17.5164
393,Hurðarbök,63.8518,-18.2221
394,Lauffell,63.9454,-18.2239
395,Laki,64.0740,-18.2626
396,Galti,64.0088,-18.2642
397,Skál,63.7235,-18.2328
398,Fjallabaksvegamót,63.6717,-18.4031
399,Smáfjöll,63.7424,-18.5174
400,Fjallabaksvegur,63.8240,-18.5813
401,Bláfjall,63.9168,-18.6179
402,Tindafjall,63.9821,-18.7662
403,Landmannalaugar,63.9902,-19.0577
404,Frostastaðavatn,64.0133,-19.0454
405,Mógilshöfðar,64.0319,-19.1175
406,Landmannahellir,64.0551,-19.2694
407,Valahnúkar,64.0819,-19.5565
408,Sauðafell,64.0870,-19.6859
409,Þjórsá,64.1603,-19.6122
410,Ofan við Búrfellsstöð,64.1055,-19.8252
411,Búrfellsstöð,64.1168,-19.8123
412,Hagi,64.0647,-20.0711
413,Árnes,64.0412,-20.2557
414,Fosshóll,65.6907,-17.5544
415,Fljótsheiði,65.7270,-17.4723
416,Másvatn,65.6416,-17.2602
417,Þríhyrningsfjallgarður,65.1510,-15.7390
418,Ofan við Brú,65.1341,-15.5858
419,Háls ofan við Hrafnkelsdal,64.9732,-15.5585
420,Maríutungur - við jökul,64.6693,-15.7253
421,Maríutungur - hæð,64.6741,-15.7342
422,Þjófahnúkar,64.7260,-15.6953
