id,Staðarlýsing,Breidd,Lengd
1217,,65.3701,-14.3027
1218,,65.3674,-14.3044
1219,,65.3648,-14.3073
1220,,65.3625,-14.3112
1221,,65.3605,-14.3159
1222,,65.3589,-14.3215
1223,,65.3577,-14.3276
1224,,65.3570,-14.3341
1225,,65.3567,-14.3409
1226,,65.3570,-14.3476
1227,,65.3577,-14.3541
1228,,65.3589,-14.3603
1229,,65.3605,-14.3658
1230,,65.3625,-14.3706
1231,,65.3648,-14.3745
1232,,65.3674,-14.3773
1233,,65.3701,-14.3791
1234,,65.3729,-14.3797
1235,,65.3757,-14.3791
1236,,65.3784,-14.3773
1237,Kotströnd,63.9663,-21.1352
1238,,65.3810,-14.3745
1239,,65.3833,-14.3706
1240,,65.3853,-14.3658
1241,,65.3869,-14.3603
1242,,65.3873,-14.3585
1243,,65.3881,-14.3541
1244,,65.3888,-14.3476
1245,Stóraborg,64.0710,-20.7597
1246,Eyjólfsstaðir,65.1894,-14.4974
1247,Stokkseyri,63.8355,-21.0600
1248,Keldnaholt,63.8558,-20.9938
1249,Rútsstaðir,63.8618,-20.8983
1250,Óruttularholt,63.9037,-20.8140
1251,Skálmholt,63.9392,-20.6662
1252,Skeiðháholt,63.9755,-20.5458
1253,Stóra-Mástunga,64.0713,-20.1927
1254,,64.9157,-23.8540
1255,Landmælingavarða,64.9157,-23.8540
1256,Ingjaldshóll,64.2599,-15.5852
1257,Grenihlíð,64.1298,-21.6711
1258,Gróttubílaplan,64.1625,-22.0153
1259,,63.8508,-22.4518
1260,,64.2632,-15.3117
1261,,64.2740,-15.4121
1262,Einholt,64.2739,-15.4099
1263,Einholt,64.2734,-15.4028
1264,Fláajökulsvegur,64.2847,-15.5126
1265,Mýrar,64.2952,-15.6122
1266,Heinabergsjökull,64.2993,-15.6499
1267,,64.3057,-15.7126
1268,,64.3162,-15.8130
1269,,64.3266,-15.9136
1270,,64.3369,-16.0142
1271,Vatnajökull H-Lína,64.3471,-16.1150
1272,Vatnajökull H-Lína,64.3573,-16.2157
1273,Vatnajökull H-Lína,64.3674,-16.3166
1274,Vatnajökull H-Lína,64.3775,-16.4175
1275,Vatnajökull H-Lína,64.3875,-16.5185
1276,Vatnajökull H-Lína,64.3974,-16.6196
1277,Vatnajökull H-Lína,64.4072,-16.7208
1278,Vatnajökull H-Lína,64.4170,-16.8220
1279,Vatnajökull H-Lína,64.4267,-16.9233
1280,Vatnajökull H-Lína,64.4363,-17.0247
1281,Vatnajökull H-Lína,64.4459,-17.1261
1282,Vatnajökull H-Lína,64.4553,-17.2276
1283,Vatnajökull H-Lína,64.4648,-17.3292
1284,Vatnajökull H-Lína,64.4741,-17.4308
1285,Vatnajökull H-Lína,64.4834,-17.5325
1286,Vatnajökull H-Lína,64.4926,-17.6343
1287,Vatnajökull H-Lína,64.5017,-17.7362
1288,Vatnajökull H-Lína,64.5068,-17.7871
1289,Vatnajökull H-Lína,64.5108,-17.8381
1290,Vatnajökull H-Lína,64.5180,-17.9149
1291,,64.5198,-17.9401
1292,,64.5209,-17.9523
1293,Við upptök Sveðju,64.5244,-17.9973
1294,Við Sveðju,64.5287,-18.0421
1295,Sunnan við Hágöngulón,64.5380,-18.1443
1296,Hágöngur,64.5464,-18.2465
1297,Skrokkalda,64.5606,-18.4199
1298,Kvíslarvatn (mitt),64.5751,-18.5905
1299,Austurfjörur,64.2427,-15.1208
1300,,64.5411,-18.2505
1301,1.4km 206gr HFN,64.2637,-15.1987
1302,Hrauneyjar,64.1971,-19.2843
1303,,64.5904,-17.9115
1304,Þverholt,64.5808,-22.1677
1305,,65.1449,-13.7273
1306,,65.1463,-13.7188
1307,,65.1216,-13.7947
1308,,63.9561,-17.4739
1309,7.12km 071gr frá RF,64.8918,-23.9623
1310,7.56km 060gr frá RF,64.8787,-23.9583
1311,6.90km 050gr frá RF,64.8728,-23.9316
1312,6.65km 040gr frá RF,64.8669,-23.9102
1313,12.1km 035gr frá RF,64.8236,-23.9664
1314,13.8km 020gr frá RF,64.7962,-23.9194
1315,15.9km 010gr frá RF,64.7720,-23.8780
1316,18.3km 000gr frá RF,64.7483,-23.8198
1317,20.9km 295gr frá RF,64.8330,-23.4207
1318,18.1km 300gr frá RF,64.8310,-23.4887
1319,16.0km 310gr frá RF,64.8201,-23.5610
1320,15.4km 320gr frá RF,64.8066,-23.6109
1321,15.8km 330gr frá RF,64.7897,-23.6532
1322,18.2km 340gr frá RF,64.7590,-23.6887
1323,19.4km 350gr frá RF,64.7413,-23.7490
1324,Svínafellsaurar,64.3880,-15.3616
1325,,64.4118,-15.4883
1326,,64.4208,-15.5899
1327,,64.4297,-15.6916
1328,,64.4386,-15.7933
1329,,64.4474,-15.8952
1330,Vatnajökull S-lína,64.4560,-15.9970
1331,Vatnajökull S-lína,64.4647,-16.0990
1332,Vatnajökull S-lína,64.4732,-16.2010
1333,Vatnajökull S-lína,64.4817,-16.3030
1334,Vatnajökull S-lína,64.4901,-16.4052
1335,Vatnajökull S-lína,64.4985,-16.5074
1336,Vatnajökull S-lína,64.5068,-16.6097
1337,Vatnajökull S-lína,64.5150,-16.7120
1338,Vatnajökull S-lína,64.5231,-16.8145
1339,Vatnajökull S-lína,64.5312,-16.9168
1340,Vatnajökull S-lína,64.5392,-17.0194
1341,Vatnajökull S-lína,64.5471,-17.1220
1342,Vatnajökull S-lína,64.5550,-17.2245
1343,Vatnajökull S-lína,64.5628,-17.3273
1344,Vatnajökull S-lína,64.5704,-17.4300
1345,Vatnajökull S-lína,64.5781,-17.5329
1346,Vatnajökull S-lína,64.5857,-17.6357
1347,Vatnajökull S-lína,64.5899,-17.6869
1348,Vatnajökull S-lína,64.5931,-17.7385
1349,Vatnajökull S-lína,64.5961,-17.7863
1350,Vatnajökull S-lína,64.6006,-17.8415
1351,Vatnajökull S-lína,64.6038,-17.8848
1352,Vatnajökull S-lína,64.6079,-17.9446
1353,,64.6152,-18.0478
1354,,64.6352,-18.3367
1355,Norðan við Kistuöldu,64.6342,-18.3224
1356,,64.6464,-18.5020
1357,Þjórsárver (vegamót),64.6445,-18.4808
1358,,64.7083,-19.4756
1359,Markarfljót,63.6172,-20.0177
1360,,63.6333,-20.0708
1361,Bakkaflugvöllur,63.5594,-20.1455
1362,Kross,63.6067,-20.2594
1363,Úlfsey,63.6321,-20.3213
1364,,63.6609,-20.1608
1365,Strandarhjáleiga,63.6972,-20.2789
1366,Njálsbúð,63.6636,-20.3963
1367,Sparði,63.7078,-20.5025
1368,,63.7457,-20.4372
1369,Þykkvabæjarvegur,63.7711,-20.5198
1370,Þykkvibær,63.7483,-20.6004
1371,Háfshverfi,63.7900,-20.6966
1372,,63.8179,-20.6722
1373,Sýrlækur,63.8318,-20.7181
1374,Hólmasel,63.8110,-20.7508
1375,Dverghamar,63.8380,-20.8154
1376,Gafl,63.8497,-20.7761
1377,Rútsstaðavegamót,63.8736,-20.9011
1378,Súluholt 2,63.8880,-20.9007
1379,Austurkot,63.9135,-20.9839
1380,Votmúli,63.9124,-20.9945
1381,Byggðarhornsvegur,63.9111,-21.0156
1382,Votmúlavegamót,63.9187,-21.0396
1383,Stekkar,63.9062,-21.0638
1384,Vegamót (Selfoss/Eyrarbakki/Stokkseyri),63.8606,-21.1103
1385,Austan við Ölfursárbrú,63.8790,-21.1925
1386,Við Ölfusóssvatn,63.8871,-21.2743
1387,Þorlákshafnarvegamót,63.8917,-21.3639
1388,Krýsuvíkurvegamót,63.9278,-21.3627
1389,Hjallakirkja,63.9411,-21.2958
1390,Núpar,63.9713,-21.2410
1391,Bæjaþorpsvegamót,63.9888,-21.2023
1392,Svínafellsaurar,64.3804,-15.3637
1393,,64.3942,-15.3726
1394,Svínafellsaurar,64.3569,-15.3907
1395,Hoffellsvegur,64.3761,-15.3093
1396,Hoffellsárbrú,64.3715,-15.3025
1397,,64.3902,-15.3730
1398,Hornafjarðarfljótsaurar,64.3776,-15.3680
1399,Hornafjarðarfljótsaurar,64.3647,-15.3302
1400,,64.3885,-15.3695
1401,,64.3946,-15.3441
1402,,64.3857,-15.3820
1403,,64.3524,-15.3782
1404,,64.3524,-15.3782
1405,,64.3556,-15.3794
1406,Svínafellsaurar,64.3762,-15.4163
1407,,64.5374,-18.1946
1408,Stokksnesviti,64.2399,-14.9637
1409,,64.3968,-15.3831
1410,Grafarvegur,65.4099,-14.3414
1411,Grafarvegur,65.4090,-14.3316
1412,Við þjóðveg norðan Eiða,65.3883,-14.3371
1413,Gilsá við Hjartarstaði,65.4077,-14.3261
1414,Brennistaðavegur,65.4102,-14.3153
1415,Brennistaðavegur,65.4057,-14.3118
1416,Brennistaðavegur,65.3954,-14.3098
1417,Brennistaðavegur,65.3916,-14.3068
1418,1 km frá Skeiðarárjökulsbrún,63.9855,-17.4159
1419,Sléttaból,63.8058,-17.7901
1420,Melhóll,63.5789,-18.2682
1421,Sandar,63.4449,-18.5675
1422,Álftaver (vestur),63.5039,-18.4157
1423,Álftaver (austur),63.5318,-18.3624
1424,Við sjó,63.4045,-18.6249
1425,Meðallandsvegur,63.7141,-17.9965
1426,Flatey,64.2599,-15.5852
1427,Norðan Gilsárteigs,65.3856,-14.3046
1428,Norðan Gilsárteigs,65.3814,-14.3060
1429,Á Gilsárteigstúni,65.3778,-14.3090
1430,Á Gilsárteigstúni,65.3753,-14.3089
1431,Á Gilsárteigsvegi,65.3730,-14.3126
1432,Á Gilsárteigstúni,65.3726,-14.3006
1433,Gilsá við Ormsstaði,65.3700,-14.3006
1434,Ormsstaðir,65.3688,-14.3141
1435,Sunnan Ormsstaða,65.3675,-14.3135
1436,Sunnan Ormsstaða (stagstefna),65.3674,-14.3136
1437,Sunnan Ormsstaða,65.3656,-14.3110
1438,Sunnan Ormsstaða,65.3627,-14.3109
1439,Sunnan Ormsstaða,65.3625,-14.3108
1440,Sunnan Ormsstaða,65.3593,-14.3119
1441,Sunnan Ormsstaða,65.3595,-14.3118
1442,Sunnan Ormsstaða,65.3592,-14.3119
1443,Sunnan Ormsstaða,65.3587,-14.3118
1444,Ásgeirsstaðir(sumarbústaður),65.3507,-14.3097
1445,Ásgeirsstaðir(sumarbústaður),65.3498,-14.3102
1446,Sunnan Ásgeirsstaða,65.3416,-14.3137
1447,Sunnan Ásgeirsstaða,65.3354,-14.3195
1448,Tókastaðir,65.3322,-14.3201
1449,Sunnan Tókastaða,65.3288,-14.3217
1450,Sunnan Tókastaða,65.3133,-14.3400
1451,Breiðvaðsvegamót,65.3312,-14.3585
1452,Breiðvaðsvegur,65.3320,-14.3680
1453,Á þjóðvegi við flugvöll,65.2691,-14.4067
1454,Á akri austan við flugturn,65.2747,-14.4034
1455,Við Lagarfljótsbrú,65.2787,-14.4187
1456,Breiðvað,65.3317,-14.3771
1457,Eiðaþjóðvegur,65.3620,-14.3503
1458,Fljótsbakkavegamót,65.3638,-14.3498
1459,Fljótsbakkavegur,65.3637,-14.3524
1460,Hróarstunguvegamót,65.2985,-14.4458
1461,Fljótsbakkavegur,65.3619,-14.3609
1462,Hróarstunguvegur,65.3314,-14.4245
1463,"Suðaustan Skógargerðis, við Löginn",65.3389,-14.4099
1464,Fljótsbakkavegur,65.3619,-14.3726
1465,Skógargerðisvegur,65.3443,-14.4216
1466,Fljótsbakkavegur,65.3607,-14.3801
1467,Fljótsbakkavegur,65.3607,-14.3815
1468,Fljótsbakkavegur (stagstefna),65.3604,-14.3854
1469,Við Rangárbrú (utan vegar),65.3481,-14.4274
1470,Við Rangárbrú (á vegi),65.3482,-14.4270
1471,Fljótsbakki,65.3606,-14.3925
1472,Fljótsbakkatún,65.3610,-14.3900
1473,Fljótsbakkatún,65.3612,-14.3899
1474,Rangá,65.3545,-14.4171
1475,Norðan Fljótsbakka,65.3638,-14.3900
1476,Norðan Rangár,65.3608,-14.4209
1477,Norðan Rangár,65.3672,-14.4193
1478,Dagverðargerði,65.3730,-14.4140
1479,Norðan Dagverðargerðis,65.3779,-14.4078
1480,Norðan Dagverðargerðis,65.3828,-14.4058
1481,Vífilsstaðir (á þjóðvegi),65.3883,-14.4049
1482,Vífilsstaðir (á fljótsbakka),65.3876,-14.4017
1483,Norðan Vífilsstaða,65.3939,-14.4013
1484,Norðan Vífilsstaða,65.4025,-14.4013
1485,Norðan Vífilsstaða,65.4143,-14.3977
1486,Norðan Vífilsstaða,65.4145,-14.3980
1487,Sunnan við Straum,65.4327,-14.3932
1488,Vestan Kirkjubæjar,65.5107,-14.4127
1489,Búðarás,65.4723,-14.3845
1490,Gröf (sumarbústaður),65.4130,-14.3553
1491,Grafarvegur,65.4117,-14.3508
1492,Grafarvegur (stagstefna),65.4115,-14.3474
1493,,65.4104,-14.3435
1494,"Tangarhöfði 2, þakgluggi",64.1258,-21.8178
1495,Bílastæði Tangarhöfða,64.1259,-21.8179
1496,,64.2538,-15.8640
1497,Grímsfjall (skáli),64.4068,-17.2658
1498,Vattarnes (austanvert),64.9192,-13.6854
1499,VR2 skrifstofugluggi,64.1386,-21.9553
